Term,Session,Class Nbr,Acad Group,Subject,Course Number,Section,Min Units,Max Units,Enrl Stat,Class Stat,Cap Enrl,Req Rm Cap,Tot Enrl,Wait Cap,Wait Tot,Auto Enrol,Start Date,End Date,Start,End,Mtg Start,Mtg End,Mon,Tues,Wed,Thu,Fri,Sat,Sun,Building,Room,Location,Course Title,Instructor Name,Room Char,Mode
2223,1,31408,SS&E,EDTE,3308,62,3.00,3.00,Closed,Active,30,30,30,10,2,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Socio-Cultural Found of Educ,"O'Bannon,Anne Kathleen",96,OL
2223,1,31495,SS&E,EDTE,4350,14,3.00,3.00,Open,Active,25,25,1,15,0,Y,1/24/2022,5/20/2022,1,1,4:00:00 PM,6:30:00 PM,,T,,,,,,DDH,103K,BKSFLD,TPA Cycle 1,"O'Bannon,Anne Kathleen",32,P
2223,1,33166,SS&E,EDTE,5800,14,6.00,6.00,Open,Active,25,25,0,5,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,OFFCMP,,BKSFLD,Intern/Resident Clin Pract,"O'Bannon,Anne Kathleen",96,IS
2223,1,31456,SS&E,SW,6300,60,3.00,3.00,Open,Active,20,20,17,0,0,N,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:15:00 PM,,,,R,,,,WEB,ON-LINE,BKSFLD,Found Research in Social Work,"Oh,Hyejung",96,OL
2223,1,31460,SS&E,SW,6430,60,3.00,3.00,Open,Active,20,20,18,0,0,N,1/24/2022,5/20/2022,0,1,8:30:00 AM,11:00:00 AM,,T,,,,,,WEB,ON-LINE,BKSFLD,Found Mezzo S W Practice,"Oh,Hyejung",96,OL
2223,1,31461,SS&E,SW,6430,61,3.00,3.00,Open,Active,20,20,16,0,0,N,1/24/2022,5/20/2022,1,1,11:30:00 AM,2:00:00 PM,,T,,,,,,WEB,ON-LINE,BKSFLD,Found Mezzo S W Practice,"Oh,Hyejung",96,OL
2223,1,31434,NSM,CHEM,1001,07,2.00,2.00,Open,Active,20,20,18,5,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,3:30:00 PM,M,,W,,,,,SCI II,255,BKSFLD,Foundations of Chemistry Lab,"Oldfield,Rachel",96,P
2223,1,31435,NSM,CHEM,1001,08,2.00,2.00,Open,Active,20,20,10,5,0,Y,1/24/2022,5/20/2022,1,1,4:00:00 PM,6:30:00 PM,M,,W,,,,,SCI II,255,BKSFLD,Foundations of Chemistry Lab,"Oldfield,Rachel",96,P
2223,1,31745,NSM,CHEM,4401,01,2.00,2.00,Open,Active,16,16,7,5,0,Y,1/24/2022,5/20/2022,1,1,10:00:00 AM,12:30:00 PM,,T,,R,,,,SCI II,258,BKSFLD,Biochemistry Laboratory II,"Oldfield,Rachel",96,P
2223,1,32541,NSM,CHEM,4700,03,1.00,1.00,Open,Active,20,20,0,5,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,3:30:00 PM,,,,,F,,,SCI II,261,BKSFLD,Special Topics in Chemistry,"Oldfield,Rachel",96,P
2223,1,32330,NSM,SCI,1100,03,2.00,2.00,Open,Active,25,25,14,10,0,Y,1/24/2022,5/20/2022,1,1,1:00:00 PM,3:30:00 PM,,,,R,,,,SCI II,278,BKSFLD,Chemistry for Liberal Studies,"Oldfield,Rachel",96,P
2223,1,31943,BPA,BA,3008,04,3.00,3.00,Open,Active,10,10,3,0,0,N,1/24/2022,5/20/2022,1,1,5:30:00 PM,6:45:00 PM,M,,W,,,,,SCI II,179,BKSFLD,Diversity in Business Organiza,"Olson,David E",32,P
2223,1,31712,BPA,BA,6900,01,3.00,3.00,Open,Active,20,20,11,0,0,N,1/24/2022,5/20/2022,1,2,7:00:00 PM,8:15:00 PM,M,,W,,,,,BDC,153B,BKSFLD,Master's Culminating Project,"Olson,David E",32,P
2223,1,32046,BPA,MGMT,4770,01,3.00,3.00,Open,Active,15,15,1,0,0,N,1/24/2022,5/20/2022,1,1,5:30:00 PM,6:45:00 PM,M,,W,,,,,DDH,103H,BKSFLD,Selected Topics in Management,"Olson,David E",32,P
2223,1,32064,NSM,CMPS,2240,60,4.00,4.00,Open,Active,35,35,32,15,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Comp Arch I: Assembly Lang,"On,Vincent W",,OL
2223,1,32065,NSM,CMPS,2240,61,4.00,4.00,Open,Active,35,35,32,15,0,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Comp Arch I: Assembly Lang,"On,Vincent W",,OL
2223,1,32163,NSM,CMPS,3140,60,3.00,3.00,Closed,Active,35,35,35,15,14,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Theory of Computation,"On,Vincent W",,OL
2223,1,32164,NSM,CMPS,3140,61,3.00,3.00,Closed,Active,35,35,35,15,14,Y,1/24/2022,5/20/2022,,,,,,,,,,,,WEB,ON-LINE,BKSFLD,Theory of Computation,"On,Vincent W",,OL
