,Class Nbr,Tot Enrl,Start Date,End Date,Mtg Start,Mtg End,Mon,Tues,Wed,Thu,Fri,Sat,Sun,Building,Location
633,32451,34,1/23/2023,5/19/2023,12:00:00 PM,12:50:00 PM,M,,W,,F,,,SCI III,BKSFLD
634,32452,34,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,T,,,,,,SCI III,BKSFLD
642,32450,12,1/23/2023,5/19/2023, 1:00:00 PM, 2:40:00 PM,,,,,F,,,SCI III,BKSFLD
643,32408,15,1/23/2023,5/19/2023, 4:00:00 PM, 5:40:00 PM,,,,,F,,,SCI III,BKSFLD
644,32422,10,1/23/2023,5/19/2023, 8:00:00 AM, 9:40:00 AM,,,,,F,,,SCI III,BKSFLD
645,32437,15,1/23/2023,5/19/2023, 4:00:00 PM, 5:40:00 PM,,,,,F,,,SCI III,BKSFLD
646,32455,15,1/23/2023,5/19/2023,10:00:00 AM,11:40:00 AM,,,,,F,,,SCI III,BKSFLD
647,31656,23,1/23/2023,5/19/2023, 8:00:00 AM, 8:50:00 AM,M,,W,,F,,,DDH,BKSFLD
649,31658,18,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,F,,,DDH,BKSFLD
650,31659,11,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,F,,,DDH,BKSFLD
651,31660,24,1/23/2023,5/19/2023,10:00:00 AM,10:50:00 AM,M,,W,,F,,,DDH,BKSFLD
654,31663,26,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,F,,,DDH,BKSFLD
656,31665,20,1/23/2023,5/19/2023,12:00:00 PM,12:50:00 PM,M,,W,,F,,,DDH,BKSFLD
657,31666,25,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DDH,BKSFLD
659,31668,23,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,DDH,BKSFLD
660,31669,13,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,DDH,BKSFLD
663,31672,26,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,DDH,BKSFLD
664,31673,21,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,DDH,BKSFLD
665,31674,19,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,DDH,BKSFLD
666,31675,23,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,DDH,BKSFLD
667,31676,24,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,DDH,BKSFLD
668,31677,11,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,DDH,BKSFLD
669,31678,10,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,DDH,BKSFLD
670,32941,9,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,DDH,BKSFLD
674,31684,23,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,,,R,,,,DDH,BKSFLD
675,31687,18,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,,,,,DDH,BKSFLD
678,31689,19,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,,,,,WSL,BKSFLD
683,31694,24,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,,,,,,WSL,BKSFLD
685,31695,15,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,M,,,,,,,WSL,BKSFLD
687,31697,30,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,,,,,WSL,BKSFLD
690,31699,15,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,,,R,,,,WSL,BKSFLD
691,31710,18,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,,,,,WSL,BKSFLD
693,31711,18,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,,,,,WSL,BKSFLD
714,31722,22,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,,W,,,,,DDH,BKSFLD
718,31723,12,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,,,,,,SCI III,BKSFLD
723,31747,20,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,,,,,DDH,BKSFLD
728,31726,45,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,,,,,DLC,BKSFLD
730,32931,44,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,,,,,DDH,BKSFLD
736,31730,10,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,WSL,BKSFLD
739,31732,12,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,,,R,,,,DDH,BKSFLD
741,31733,14,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,,,,,EDUC,BKSFLD
747,31734,9,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,,,R,,,,DDH,BKSFLD
749,31735,18,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,,,,,WSL,BKSFLD
751,31736,19,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,T,,,,,,WSL,BKSFLD
753,31738,12,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,,,,WSL,BKSFLD
755,31739,27,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,BDC,BKSFLD
756,31740,8,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,BDC,BKSFLD
758,31741,19,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,,,R,,,,WSL,BKSFLD
765,32212,5,1/23/2023,5/19/2023, 3:30:00 PM, 6:00:00 PM,,,,R,,,,DDH,BKSFLD
766,32198,11,1/23/2023,5/19/2023, 5:00:00 PM, 7:30:00 PM,,T,,,,,,DDH,BKSFLD
767,32196,11,1/23/2023,5/19/2023, 5:00:00 PM, 7:30:00 PM,M,,,,,,,DDH,BKSFLD
768,32209,11,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,,R,,,,DDH,BKSFLD
769,32199,12,1/23/2023,5/19/2023, 6:00:00 PM, 8:30:00 PM,,T,,,,,,SCI III,BKSFLD
770,32206,15,1/23/2023,5/19/2023, 6:00:00 PM, 8:30:00 PM,,,W,,,,,DDH,BKSFLD
771,32204,12,1/23/2023,5/19/2023, 3:00:00 PM, 5:30:00 PM,M,,,,,,,EDUC,BKSFLD
772,32207,11,1/23/2023,5/19/2023, 7:30:00 PM, 9:30:00 PM,,,W,,,,,EDUC,BKSFLD
773,32208,13,1/23/2023,5/19/2023, 5:00:00 PM, 7:30:00 PM,,,W,,,,,DDH,BKSFLD
774,32205,11,1/23/2023,5/19/2023, 5:00:00 PM, 6:00:00 PM,,,W,,,,,DDH,BKSFLD
775,32200,4,1/23/2023,5/19/2023, 6:00:00 PM, 8:00:00 PM,M,,,,,,,EDUC,BKSFLD
776,32203,4,1/23/2023,5/19/2023, 3:00:00 PM, 5:00:00 PM,,T,,,,,,DDH,BKSFLD
777,32210,3,1/23/2023,5/19/2023,11:00:00 AM, 1:00:00 PM,,,,R,,,,DDH,BKSFLD
778,32211,2,1/23/2023,5/19/2023, 1:00:00 PM, 3:00:00 PM,,,,R,,,,DDH,BKSFLD
779,32197,12,1/23/2023,5/19/2023, 7:30:00 PM,10:00:00 PM,M,,,,,,,EDUC,BKSFLD
780,32202,4,1/23/2023,5/19/2023, 6:00:00 PM, 8:00:00 PM,,,,R,,,,EDUC,BKSFLD
781,32201,15,1/23/2023,5/19/2023, 8:00:00 PM, 9:00:00 PM,,,,R,,,,EDUC,BKSFLD
782,31886,33,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,SCI III,BKSFLD
783,32423,45,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,BDC,BKSFLD
789,32539,38,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,T,,,,,,MUS,BKSFLD
790,32566,21,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,,,F,,,MUS,BKSFLD
791,31890,24,1/23/2023,5/19/2023,11:00:00 AM,11:50:00 AM,M,,W,,,,,WSL,BKSFLD
795,31891,26,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,WSL,BKSFLD
798,31895,44,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,DDH,BKSFLD
799,31894,45,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,DDH,BKSFLD
803,31900,31,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,T,,,,,,MUS,BKSFLD
804,31899,20,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,T,,,,,,WSL,BKSFLD
812,31907,31,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,,,,,WSL,BKSFLD
823,31912,36,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,DDH,BKSFLD
824,32623,16,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,SCI III,BKSFLD
828,32656,27,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,DDH,BKSFLD
829,32699,23,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,DDH,BKSFLD
833,32627,30,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,M,,W,,,,,DDH,BKSFLD
837,31917,35,1/23/2023,5/19/2023, 2:30:00 PM, 5:00:00 PM,,,,R,,,,DDH,BKSFLD
838,31918,34,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,,R,,,,DDH,BKSFLD
842,32637,29,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,EDUC,BKSFLD
843,32632,14,1/23/2023,5/19/2023, 7:00:00 AM, 8:15:00 AM,,T,,R,,,,DDH,BKSFLD
844,32633,44,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,BDC,BKSFLD
848,31920,19,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,EDUC,BKSFLD
849,31921,25,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,EDUC,BKSFLD
850,31922,26,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,,T,,R,,,,EDUC,BKSFLD
851,32636,20,1/23/2023,5/19/2023, 8:30:00 AM, 9:45:00 AM,,T,,R,,,,EDUC,BKSFLD
856,31609,27,1/23/2023,5/19/2023, 5:00:00 PM, 6:40:00 PM,,T,,,,,,SCI III,BKSFLD
857,33062,29,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,,T,,R,,,,DDH,BKSFLD
858,33074,14,1/23/2023,5/19/2023, 8:30:00 AM, 9:20:00 AM,,T,,R,,,,DDH,BKSFLD
860,33047,6,1/23/2023,5/19/2023, 6:30:00 PM, 7:20:00 PM,,T,,,,,,SCI III,BKSFLD
861,33048,6,1/23/2023,5/19/2023, 6:30:00 PM, 8:10:00 PM,,,,R,,,,SCI III,BKSFLD
862,32277,12,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,,,,R,,,,SCI III,BKSFLD
863,32278,7,1/23/2023,5/19/2023,10:00:00 AM,11:40:00 AM,,,,,F,,,SCI III,BKSFLD
864,32279,5,1/23/2023,5/19/2023, 1:00:00 PM, 2:40:00 PM,,,,,F,,,SCI III,BKSFLD
865,33055,7,1/23/2023,5/19/2023, 1:00:00 PM, 1:50:00 PM,M,,,,,,,WSL,BKSFLD
866,33056,2,1/23/2023,5/19/2023, 3:00:00 PM, 4:40:00 PM,M,,,,,,,EC I,BKSFLD
867,33057,5,1/23/2023,5/19/2023,10:10:00 AM,11:50:00 AM,,,W,,,,,EC I,BKSFLD
868,33058,15,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,DDH,BKSFLD
869,33059,6,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,M,,,,,,,EC II,BKSFLD
870,33060,9,1/23/2023,5/19/2023, 4:00:00 PM, 6:30:00 PM,,,W,,,,,EC II,BKSFLD
871,32273,23,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,SCI III,BKSFLD
872,32274,23,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI III,BKSFLD
873,32284,15,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,SCI III,BKSFLD
874,32285,15,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI III,BKSFLD
875,32268,17,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,SCI III,BKSFLD
876,32269,17,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,SCI III,BKSFLD
877,32275,14,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,SCI III,BKSFLD
878,32276,14,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI III,BKSFLD
879,32291,20,1/23/2023,5/19/2023, 7:20:00 AM, 9:50:00 AM,,,,,F,,,SCI III,BKSFLD
880,32292,20,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,,,F,,,SCI III,BKSFLD
881,32318,11,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,SCI III,BKSFLD
882,32319,11,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI III,BKSFLD
883,32325,16,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,SCI III,BKSFLD
884,32326,16,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,SCI III,BKSFLD
885,32344,22,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,,,W,,,,,SCI III,BKSFLD
886,32345,15,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,M,,,,,,,EC II,BKSFLD
887,32346,7,1/23/2023,5/19/2023, 1:00:00 PM, 3:30:00 PM,,,W,,,,,EC II,BKSFLD
888,32265,10,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,SCI III,BKSFLD
889,32266,10,1/23/2023,5/19/2023,10:00:00 AM,12:30:00 PM,M,,,,,,,SCI III,BKSFLD
895,32271,12,1/23/2023,5/19/2023, 4:00:00 PM, 5:40:00 PM,M,,,,,,,SCI III,BKSFLD
896,32294,6,1/23/2023,5/19/2023,10:00:00 AM,11:40:00 AM,,,,,F,,,SCI III,BKSFLD
897,32366,15,1/23/2023,5/19/2023,10:00:00 AM,11:40:00 AM,,,,,F,,,SCI III,BKSFLD
898,31002,0,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,F,,,BDC,BKSFLD
899,31003,49,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,BDC,BKSFLD
900,31004,50,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,M,,W,,,,,WSL,BKSFLD
901,31005,34,1/23/2023,5/19/2023, 9:00:00 AM, 9:50:00 AM,M,,W,,F,,,BDC,BKSFLD
903,31006,49,1/23/2023,5/19/2023,10:00:00 AM,11:15:00 AM,,T,,R,,,,BDC,BKSFLD
904,31007,30,1/23/2023,5/19/2023, 2:30:00 PM, 3:45:00 PM,,T,,R,,,,BDC,BKSFLD
905,31008,38,1/23/2023,5/19/2023, 4:00:00 PM, 5:15:00 PM,M,,W,,,,,BDC,BKSFLD
906,31009,44,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,,T,,R,,,,BDC,BKSFLD
907,31010,44,1/23/2023,5/19/2023, 2:15:00 PM, 3:45:00 PM,,T,,R,,,,BDC,BKSFLD
908,31011,19,1/23/2023,5/19/2023, 7:00:00 PM, 8:15:00 PM,,T,,R,,,,WSL,BKSFLD
909,31012,19,1/23/2023,5/19/2023, 8:15:00 PM, 9:45:00 PM,,T,,R,,,,WSL,BKSFLD
910,31013,25,1/23/2023,5/19/2023, 8:00:00 AM, 8:50:00 AM,M,,W,,F,,,BDC,BKSFLD
911,31014,25,1/23/2023,5/19/2023, 8:50:00 AM, 9:50:00 AM,M,,W,,F,,,BDC,BKSFLD
912,31015,40,1/23/2023,5/19/2023, 1:00:00 PM, 2:15:00 PM,M,,W,,,,,WSL,BKSFLD
913,31016,40,1/23/2023,5/19/2023, 2:15:00 PM, 3:45:00 PM,M,,W,,,,,WSL,BKSFLD
914,31017,27,1/23/2023,5/19/2023, 5:30:00 PM, 6:45:00 PM,,T,,R,,,,SCI III,BKSFLD
916,31018,17,1/23/2023,5/19/2023, 4:00:00 PM, 6:45:00 PM,,,W,,,,,BDC,BKSFLD
919,31019,16,1/23/2023,5/19/2023,11:30:00 AM,12:45:00 PM,,T,,R,,,,SCI III,BKSFLD
924,31022,18,1/23/2023,5/19/2023, 7:00:00 PM, 9:45:00 PM,,,W,,,,,HUM,BKSFLD
1000,31302,22,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,W,,,,,EDUC,BKSFLD
1001,31303,22,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,DDH,BKSFLD
1002,31304,21,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,,R,,,,EDUC,BKSFLD
1003,31305,10,1/23/2023,5/19/2023, 5:30:00 PM, 7:00:00 PM,,T,,,,,,DDH,BKSFLD
1004,31306,12,1/23/2023,1/23/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1006,31306,12,2/6/2023,2/6/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1007,31306,12,2/20/2023,2/20/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1008,31306,12,3/6/2023,3/6/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1009,31306,12,3/20/2023,3/20/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1010,31306,12,4/10/2023,4/10/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1011,31306,12,4/24/2023,4/24/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1012,31306,12,5/8/2023,5/8/2023, 8:15:00 PM, 9:40:00 PM,M,,,,,,,DDH,BKSFLD
1013,31307,33,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,W,,,,,SCI II,BKSFLD
1014,31308,19,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,DDH,BKSFLD
1015,31309,14,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,T,,,,,,DDH,BKSFLD
1017,31311,19,1/23/2023,1/23/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1019,31311,19,2/6/2023,2/6/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1020,31311,19,2/20/2023,2/20/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1021,31311,19,3/6/2023,3/6/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1022,31311,19,3/20/2023,3/20/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1023,31311,19,4/10/2023,4/10/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1024,31311,19,4/24/2023,4/24/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1025,31311,19,5/8/2023,5/8/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1027,31313,1,1/23/2023,1/23/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1029,31313,1,2/6/2023,2/6/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1030,31313,1,2/20/2023,2/20/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1031,31313,1,3/6/2023,3/6/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1032,31313,1,3/20/2023,3/20/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1033,31313,1,4/10/2023,4/10/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1034,31313,1,4/24/2023,4/24/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1035,31313,1,5/8/2023,5/8/2023, 8:15:00 PM, 9:45:00 PM,M,,,,,,,EDUC,BKSFLD
1037,31315,0,1/24/2023,1/24/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1038,31315,0,2/7/2023,2/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1039,31315,0,2/21/2023,2/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1040,31315,0,3/7/2023,3/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1041,31315,0,3/21/2023,3/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1042,31315,0,4/11/2023,4/11/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1043,31315,0,4/25/2023,4/25/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1044,31315,0,5/9/2023,5/9/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1046,31316,14,1/24/2023,1/24/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1047,31316,14,2/7/2023,2/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1048,31316,14,2/21/2023,2/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1049,31316,14,3/7/2023,3/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1050,31316,14,3/21/2023,3/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1051,31316,14,4/11/2023,4/11/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1052,31316,14,4/25/2023,4/25/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1053,31316,14,5/9/2023,5/9/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1055,31314,34,1/25/2023,1/25/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1056,31314,34,2/8/2023,2/8/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1057,31314,34,2/22/2023,2/22/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1058,31314,34,3/8/2023,3/8/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1059,31314,34,3/22/2023,3/22/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1060,31314,34,4/12/2023,4/12/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1061,31314,34,4/15/2023,4/15/2023, 9:00:00 AM, 1:00:00 PM,,,,,,S,,BDC,BKSFLD
1062,31314,34,4/26/2023,4/26/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1063,31314,34,5/10/2023,5/10/2023, 8:15:00 PM, 9:45:00 PM,,,W,,,,,EDUC,BKSFLD
1075,31317,0,1/24/2023,1/24/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1076,31317,0,2/7/2023,2/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1077,31317,0,2/21/2023,2/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1078,31317,0,3/7/2023,3/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1079,31317,0,3/21/2023,3/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1080,31317,0,4/11/2023,4/11/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1081,31317,0,4/25/2023,4/25/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1082,31317,0,5/9/2023,5/9/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1084,31318,0,1/24/2023,1/24/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1085,31318,0,2/7/2023,2/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1086,31318,0,2/21/2023,2/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1087,31318,0,3/7/2023,3/7/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1088,31318,0,3/21/2023,3/21/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1089,31318,0,4/11/2023,4/11/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1090,31318,0,4/25/2023,4/25/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1091,31318,0,5/9/2023,5/9/2023, 8:15:00 PM, 9:45:00 PM,,T,,,,,,EDUC,BKSFLD
1092,31633,17,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,T,,,,,,EDUC,BKSFLD
1094,31635,21,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,W,,,,,EDUC,BKSFLD
1096,31758,10,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,T,,,,,,DDH,BKSFLD
1102,31639,20,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,,R,,,,DDH,BKSFLD
1104,31641,25,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,DDH,BKSFLD
1112,31647,18,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,W,,,,,DDH,BKSFLD
1114,31702,25,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,,R,,,,MUS,BKSFLD
1122,31748,30,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,EDUC,BKSFLD
1132,31764,31,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,M,,,,,,,DDH,BKSFLD
1134,31766,28,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,W,,,,,DDH,BKSFLD
1142,31774,19,1/23/2023,5/19/2023, 5:30:00 PM, 8:00:00 PM,,,,R,,,,AVC,AV
1183,31928,15,2/4/2023,2/4/2023, 9:00:00 AM, 3:00:00 PM,,,,,,S,,EDUC,BKSFLD
